Benchmark,L1_count,L2_count,L3_count,Total_runs,Mode_tier,Distinct_tiers
SWE-bench Verified,0,25,0,25,L2,1
SWE-bench Multilingual,0,2,23,25,L3,2
SWE-bench Pro,0,20,5,25,L2,2
Terminal-Bench 2.0,0,25,0,25,L2,1
BrowseComp,0,25,0,25,L2,1
τ2-bench,0,0,25,25,L3,1
OSWorld,0,25,0,25,L2,1
ARC-AGI,0,0,25,25,L3,1
Vending-Bench 2,0,23,2,25,L2,2
MCP-Atlas,0,25,0,25,L2,1
FinanceAgent,0,25,0,25,L2,1
CyberGym,0,24,1,25,L2,2
SpreadsheetBench,0,25,0,25,L2,1
Humanity’s Last Exam,0,25,0,25,L2,1
AIME 2025,0,25,0,25,L2,1
GPQA Diamond,0,25,0,25,L2,1
MMMLU,0,11,14,25,L3,2
MMMU,0,25,0,25,L2,1
LAB-Bench FigQA,0,25,0,25,L2,1
WebArena,0,25,0,25,L2,1
