Benchmark,L1_count,L2_count,L3_count,Total_runs,Mode_tier,Distinct_tiers
SWE-bench Pro,0,25,0,25,L2,1
OSWorld,0,23,2,25,L2,2
ARC-AGI,0,0,25,25,L3,1
Vending-Bench 2,0,6,19,25,L3,2
MCP-Atlas,0,21,4,25,L2,2
CyberGym,0,22,3,25,L2,2
Humanity’s Last Exam,0,25,0,25,L2,1
GPQA Diamond,0,18,7,25,L2,2
MMMU-Pro,0,25,0,25,L2,1
OmniDocBench 1.5,0,25,0,25,L2,1
Video-MMMU,0,0,25,25,L3,1
LiveCodeBench Pro,0,25,0,25,L2,1
FACTS Benchmark Suite,0,0,25,25,L3,1
Global PIQA,0,11,14,25,L3,2
MRCR v2 (8-needle),0,12,13,25,L3,2
GDPval,0,2,23,25,L3,2
SWE-Lancer,0,24,1,25,L2,2
FrontierMath,0,8,17,25,L3,2
