Benchmark,L1_count,L2_count,L3_count,Total_runs,Mode_tier,Distinct_tiers
SWE-bench Verified,0,46,4,50,L2,2
SWE-bench Multilingual,0,2,48,50,L3,2
SWE-bench Pro,0,31,19,50,L2,2
Terminal-Bench 2.0,0,40,10,50,L2,2
BrowseComp,0,50,0,50,L2,1
τ2-bench,0,0,50,50,L3,1
OSWorld,0,50,0,50,L2,1
ARC-AGI-2,0,0,50,50,L3,1
Vending-Bench 2,0,47,3,50,L2,2
MCP-Atlas,0,43,7,50,L2,2
FinanceAgent,0,50,0,50,L2,1
CyberGym,0,45,5,50,L2,2
SpreadsheetBench,0,50,0,50,L2,1
Humanity’s Last Exam,0,50,0,50,L2,1
AIME 2025,0,50,0,50,L2,1
GPQA Diamond,0,50,0,50,L2,1
MMMLU,0,50,0,50,L2,1
MMMU,0,50,0,50,L2,1
LAB-Bench FigQA,0,50,0,50,L2,1
WebArena,0,49,1,50,L2,2
