Benchmark,L1_count,L2_count,L3_count,Total_runs,Mode_tier,Distinct_tiers
SWE-bench Verified,0,48,2,50,L2,2
SWE-bench Pro,0,32,18,50,L2,2
BrowseComp,0,50,0,50,L2,1
τ2-bench,0,0,50,50,L3,1
ARC-AGI-2,0,0,50,50,L3,1
MCP-Atlas,0,39,11,50,L2,2
Humanity’s Last Exam,0,50,0,50,L2,1
AIME 2025,0,50,0,50,L2,1
GPQA Diamond,0,50,0,50,L2,1
MMMLU,0,46,4,50,L2,2
MMMU-Pro,0,50,0,50,L2,1
ScreenShot-Pro,0,50,0,50,L2,1
CharXiv Reasoning,0,50,0,50,L2,1
Video-MMMU,0,49,1,50,L2,2
MRCR v2 (8-needle),0,49,1,50,L2,2
GDPval,0,48,2,50,L2,2
SWE-Lancer,0,48,2,50,L2,2
Graphwalks,0,50,0,50,L2,1
Toolathon,0,30,20,50,L2,2
HMMT,0,50,0,50,L2,1
FrontierMath,0,49,1,50,L2,2
