Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates autonomous coding/ops agents in real command-line environments, requiring them to inspect files, run commands, debug failures, and iteratively converge on a working solution. It emphasizes end-to-end task completion under tool constraints, where success depends on choosing the right actions (commands) and recovering from errors.","L1: Language Comprehension
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style question answering over a controlled web-like document collection, where models must search, read, and synthesize evidence to produce correct responses. It stresses information retrieval strategy, evidence integration, and maintaining coherence across multi-step browsing workflows.","L1: Language Comprehension, Language Production
L2: Planning, Attention, Working Memory, Episodic Memory, Semantic Understanding & Context Recognition
L3: ",L2
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld tests computer-use agents on realistic operating-system tasks (e.g., manipulating apps and settings) using multimodal observations such as screenshots and interface state. Agents must plan multi-step interactions and execute precise GUI actions while adapting to interface variations and feedback.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI measures fluid abstraction and pattern induction from a few input-output examples of grid transformations. Solving requires inferring latent rules, generalizing them to new instances, and avoiding overfitting to superficial cues.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Attention, Adaptive Error Correction
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency by simulating operation of a vending-machine business over extended time, including inventory, purchasing, pricing, and communications. Performance depends on sustained coherence, strategic planning, and adapting decisions to shifting market conditions.","L1: 
L2: Planning, Decision-making, Working Memory, Episodic Memory, Reward Mechanisms, Adaptive Error Correction, Semantic Understanding & Context Recognition
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates agentic cybersecurity capability on real-world-style vulnerability tasks, including locating known weaknesses and identifying new vulnerabilities in open-source software. It stresses structured investigation, hypothesis testing, and iterative debugging/verification loops.","L1: 
L2: Logical Reasoning, Planning, Decision-making, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control",L3
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench measures the ability to understand and manipulate complex spreadsheets, including interpreting tabular structure, applying transformations, and producing correct computed outputs. Tasks often require multi-step reasoning about formulas, dependencies, and data organization under tool-mediated execution.","L1: Language Comprehension
L2: Logical Reasoning, Planning, Working Memory, Attention, Adaptive Error Correction, Semantic Understanding & Context Recognition
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a frontier, multimodal benchmark covering diverse expert-level questions intended to stress broad knowledge, synthesis, and difficult reasoning. It often requires integrating multiple modalities and producing well-justified final answers under uncertainty.","L1: Language Comprehension, Language Production, Visual Perception
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a high-difficulty graduate-level multiple-choice science QA benchmark designed to resist simple web lookup and reward genuine subject reasoning. The Diamond subset focuses on higher-quality questions where experts succeed and non-experts commonly fail.,"L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory
L3: Inhibitory Control",L3
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro evaluates multimodal expert reasoning across many disciplines, requiring models to answer questions grounded in images (e.g., diagrams, charts, scientific figures) combined with text. It probes whether a model can extract relevant visual details and integrate them into correct domain reasoning.","L1: Visual Perception, Language Comprehension
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Multisensory Integration, Logical Reasoning, Working Memory
L3: ",L2
