Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software-engineering agents on real GitHub issues where the model must produce a patch that makes a project’s tests pass. The “Verified” subset contains tasks validated by humans to be solvable and to have reliable evaluation, reducing ambiguity and flaky grading.","Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures how well an agent can complete real-world, command-line tasks inside a sandboxed terminal environment. Tasks require choosing and chaining shell commands, inspecting files and outputs, and recovering from errors under resource and time constraints.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension, Language Production"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” behavior: answering questions that require searching, reading, and synthesizing information across multiple web sources. It emphasizes robust evidence gathering, cross-checking, and producing grounded final answers rather than single-hop retrieval.","Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition, Language Comprehension, Language Production"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench (Tau2-bench) evaluates tool-using customer-support agents in simulated multi-turn interactions (e.g., retail, airline, telecom) with policies and API-like tools. Success depends on following rules consistently, choosing correct tool calls, and maintaining coherent dialogue across many turns.","Social Reasoning & Theory of Mind, Decision-making, Planning, Inhibitory Control, Working Memory, Language Comprehension, Language Production"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that must complete tasks in full operating system environments using screenshots and UI interactions. It tests navigation, form filling, multi-app workflows, and error recovery under step limits.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Working Memory"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI measures abstract reasoning and generalization from a handful of examples using grid-based pattern transformation puzzles. Models must infer latent rules and apply them to new inputs, emphasizing novelty rather than memorized skills.","Logical Reasoning, Working Memory, Cognitive Flexibility, Planning, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agent behavior in a simulated business-management setting (running a vending machine business over an extended period). Agents must make sequential decisions about inventory, pricing, suppliers, and adaptation to changing conditions to maximize final outcomes.","Planning, Decision-making, Working Memory, Reward Mechanisms, Adaptive Error Correction, Self-reflection"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool use through the Model Context Protocol (MCP), where models must discover and correctly invoke tools across multi-step workflows. Tasks emphasize selecting appropriate APIs, handling failures/retries, and synthesizing tool outputs into correct answers.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension, Language Production"
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates agentic performance on tasks typical of an entry-level financial analyst, often requiring spreadsheet-like reasoning, document synthesis, and quantitative checks. It stresses correctness, structured outputs, and end-to-end task completion rather than only answering questions.","Logical Reasoning, Semantic Understanding & Context Recognition, Planning, Decision-making, Working Memory, Language Production"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on vulnerability understanding and discovery across real software projects, including finding known vulnerabilities from descriptions and identifying new issues. Tasks require program analysis, hypothesis testing, and precise reporting of findings.","Logical Reasoning, Planning, Adaptive Error Correction, Working Memory, Language Comprehension, Language Production"
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench tests whether models can navigate and manipulate realistic spreadsheets to solve applied problems (e.g., data cleaning, formulas, transformations, and summarization). It typically requires structured reasoning over tabular data and correct execution of multi-step edits.","Logical Reasoning, Working Memory, Planning, Adaptive Error Correction, Semantic Understanding & Context Recognition, Decision-making"
